Iteration 223, loss = 7792645.57726796
Iteration 224, loss = 7789819.47523935
Iteration 225, loss = 7786620.27886377
Iteration 226, loss = 7783822.02914825
Iteration 227, loss = 7780852.09917689
Iteration 228, loss = 7778140.67371877
Iteration 229, loss = 7775845.06541942
Iteration 230, loss = 7773569.75962197
Iteration 231, loss = 7771819.85087534
Iteration 232, loss = 7770066.38406602
Iteration 233, loss = 7768028.12000856
Iteration 234, loss = 7766813.92189437
Iteration 235, loss = 7767342.89750583
Iteration 236, loss = 7763734.97684522
Iteration 237, loss = 7761201.04840688
Iteration 238, loss = 7759576.07402331
Iteration 239, loss = 7757800.29983026
Iteration 240, loss = 7755356.19880627
Iteration 241, loss = 7752932.99934308
Iteration 242, loss = 7750201.15118071
Iteration 243, loss = 7747523.86096102
Iteration 244, loss = 7746080.40544969
Iteration 245, loss = 7744367.09214928
Iteration 246, loss = 7742838.73158075
Iteration 247, loss = 7741159.72255742
Iteration 248, loss = 7737643.74372700
Iteration 249, loss = 7735087.00902360
Iteration 250, loss = 7733814.38446613
Iteration 251, loss = 7731841.66758972
Iteration 252, loss = 7729858.98507105
Iteration 253, loss = 7727193.98416718
Iteration 254, loss = 7724724.72122632
Iteration 255, loss = 7722948.66975337
Iteration 256, loss = 7719841.09075694
Iteration 257, loss = 7717595.34346042
Iteration 258, loss = 7716134.27366164
Iteration 259, loss = 7714732.35323330
Iteration 260, loss = 7713056.29896524
Iteration 261, loss = 7710237.29959739
Iteration 262, loss = 7707136.81492818
Iteration 263, loss = 7703983.88390139
Iteration 264, loss = 7701600.28758792
Iteration 265, loss = 7700050.21921517
Iteration 266, loss = 7698882.25156051
Iteration 267, loss = 7697331.63510707
Iteration 268, loss = 7695372.05880251
Iteration 269, loss = 7694747.30901056
Iteration 270, loss = 7693982.01966692
Iteration 271, loss = 7692758.78555801
Iteration 272, loss = 7690375.33720831
Iteration 273, loss = 7688125.62536836
Iteration 274, loss = 7686775.10510472
Iteration 275, loss = 7683813.05319191
Iteration 276, loss = 7681528.41033421
Iteration 277, loss = 7678343.10048618
Iteration 278, loss = 7676164.28488310
Iteration 279, loss = 7675572.88685057
Iteration 280, loss = 7674408.03631844
Iteration 281, loss = 7672068.83550079
Iteration 282, loss = 7669038.91218845
Iteration 283, loss = 7667588.29795482
Iteration 284, loss = 7665359.88770846
Iteration 285, loss = 7664415.67579321
Iteration 286, loss = 7664023.65956831
Iteration 287, loss = 7662129.36068988
Iteration 288, loss = 7659551.96273176
Iteration 289, loss = 7657751.51006647
Iteration 290, loss = 7655899.74686060
Iteration 291, loss = 7653406.68435215
Iteration 292, loss = 7650753.63332953
Iteration 293, loss = 7649836.57809188
Iteration 294, loss = 7647947.76767343
Iteration 295, loss = 7644562.02761411
Iteration 296, loss = 7641735.10215608
Iteration 297, loss = 7638740.48751142
Iteration 298, loss = 7635641.60940428
Iteration 299, loss = 7634512.65691266
Iteration 300, loss = 7632756.96466348
Iteration 301, loss = 7630030.36208559
Iteration 302, loss = 7627091.80604927
Iteration 303, loss = 7626070.34521348
Iteration 304, loss = 7626246.97796048
Iteration 305, loss = 7622795.70821077
Iteration 306, loss = 7619696.20639844
Iteration 307, loss = 7617079.56250874
Iteration 308, loss = 7615559.75173156
Iteration 309, loss = 7612888.02848456
Iteration 310, loss = 7609880.05891173
Iteration 311, loss = 7606581.07079655
Iteration 312, loss = 7603170.53623355
Iteration 313, loss = 7599628.26233375
Iteration 314, loss = 7597538.40900128
Iteration 315, loss = 7597569.94173426
Iteration 316, loss = 7594992.26039926
Iteration 317, loss = 7592181.28137515
Iteration 318, loss = 7590136.37632754
Iteration 319, loss = 7589508.64439438
Iteration 320, loss = 7586073.70078347
Iteration 321, loss = 7582669.33303030
Iteration 322, loss = 7580359.24604153
Iteration 323, loss = 7578618.19405427
Iteration 324, loss = 7577918.61437136
Iteration 325, loss = 7575580.24983258
Iteration 326, loss = 7573010.50600780
Iteration 327, loss = 7570286.90531956
Iteration 328, loss = 7567910.12849815
Iteration 329, loss = 7566313.10364066
Iteration 330, loss = 7563997.09152752
Iteration 331, loss = 7561377.23063312
Iteration 332, loss = 7559165.51399938
Iteration 333, loss = 7556903.89849715
Iteration 334, loss = 7554599.71606063
Iteration 335, loss = 7552646.50415793
Iteration 336, loss = 7550785.41777267
Iteration 337, loss = 7548062.29787853
Iteration 338, loss = 7545251.97813581
Iteration 339, loss = 7542083.17194887
Iteration 340, loss = 7539996.14392436
Iteration 341, loss = 7538449.36924322
Iteration 342, loss = 7536163.44819046
Iteration 343, loss = 7534429.51989620
Iteration 344, loss = 7533717.20174168
Iteration 345, loss = 7532956.69178524
Iteration 346, loss = 7531155.24598194
Iteration 347, loss = 7529472.27914845
Iteration 348, loss = 7527334.16674577
Iteration 349, loss = 7524196.71323443
Iteration 350, loss = 7522481.58530286
Iteration 351, loss = 7521617.63322423
Iteration 352, loss = 7519462.50866306
Iteration 353, loss = 7517400.53222554
Iteration 354, loss = 7514970.70942323
Iteration 355, loss = 7513352.66400285
Iteration 356, loss = 7510420.33509343
Iteration 357, loss = 7507010.72276303
Iteration 358, loss = 7502824.77065988
Iteration 359, loss = 7500789.77929195
Iteration 360, loss = 7499529.53820611
Iteration 361, loss = 7496283.97156450
Iteration 362, loss = 7494055.61165064
Iteration 363, loss = 7492144.65630909
