0,1,2,3
1785.0,3007.0,5704.0,3102.0
5704.0,3102.0,6605.0,3163.0
6605.0,3163.0,5553.0,3260.0
5553.0,3260.0,5022.0,3362.0
5022.0,3362.0,4221.0,3417.0
4221.0,3417.0,1701.0,3474.0
1701.0,3474.0,2694.0,3526.0
2694.0,3526.0,5294.0,3637.0
5294.0,3637.0,5154.0,3737.0
5154.0,3737.0,4792.0,3801.0
4792.0,3801.0,4888.0,3894.0
4888.0,3894.0,4392.0,3965.0
4392.0,3965.0,8420.0,4068.0
8420.0,4068.0,4344.0,4068.0
4344.0,4068.0,4328.0,4260.0
4328.0,4260.0,5442.0,4361.0
5442.0,4361.0,3762.0,4411.0
3762.0,4411.0,4671.0,4495.0
4671.0,4495.0,4898.0,4565.0
4898.0,4565.0,6542.0,4642.0
6542.0,4642.0,3309.0,4711.0
3309.0,4711.0,5237.0,4784.0
5237.0,4784.0,6481.0,4889.0
6481.0,4889.0,4650.0,4976.0
4650.0,4976.0,5553.0,5050.0
5553.0,5050.0,5289.0,5135.0
5289.0,5135.0,7040.0,5199.0
7040.0,5199.0,4072.0,5271.0
4072.0,5271.0,5355.0,5382.0
5355.0,5382.0,6216.0,5502.0
6216.0,5502.0,5470.0,5629.0
5470.0,5629.0,4905.0,5733.0
4905.0,5733.0,5673.0,5812.0
5673.0,5812.0,6281.0,5885.0
6281.0,5885.0,3491.0,5952.0
3491.0,5952.0,4725.0,6063.0
4725.0,6063.0,5929.0,6168.0
5929.0,6168.0,5351.0,6271.0
5351.0,6271.0,5130.0,6350.0
5130.0,6350.0,6279.0,6424.0
6279.0,6424.0,6982.0,6505.0
6982.0,6505.0,3538.0,6577.0
3538.0,6577.0,5435.0,6671.0
5435.0,6671.0,6432.0,6775.0
6432.0,6775.0,5448.0,6859.0
5448.0,6859.0,5255.0,6966.0
5255.0,6966.0,6182.0,7075.0
6182.0,7075.0,6947.0,7189.0
6947.0,7189.0,3464.0,7270.0
3464.0,7270.0,5262.0,7388.0
5262.0,7388.0,6103.0,7489.0
6103.0,7489.0,5290.0,7560.0
5290.0,7560.0,4823.0,7665.0
4823.0,7665.0,5365.0,7739.0
5365.0,7739.0,5210.0,7836.0
5210.0,7836.0,2694.0,7921.0
2694.0,7921.0,4818.0,8037.0
4818.0,8037.0,5644.0,8146.0
5644.0,8146.0,3951.0,8244.0
3951.0,8244.0,4162.0,8346.0
4162.0,8346.0,4752.0,8440.0
4752.0,8440.0,4703.0,8528.0
4703.0,8528.0,2302.0,8605.0
2302.0,8605.0,3811.0,8669.0
3811.0,8669.0,4721.0,8738.0
4721.0,8738.0,3591.0,8814.0
3591.0,8814.0,3294.0,8894.0
3294.0,8894.0,3829.0,8978.0
3829.0,8978.0,3616.0,9044.0
3616.0,9044.0,1966.0,9104.0
1966.0,9104.0,3052.0,9190.0
3052.0,9190.0,3493.0,9261.0
3493.0,9261.0,3061.0,9313.0
3061.0,9313.0,2636.0,9373.0
2636.0,9373.0,3195.0,9426.0
3195.0,9426.0,3128.0,9496.0
3128.0,9496.0,1510.0,9542.0
1510.0,9542.0,2694.0,9624.0
2694.0,9624.0,3065.0,9719.0
3065.0,9719.0,2546.0,9790.0
2546.0,9790.0,2628.0,9877.0
2628.0,9877.0,1371.0,9948.0
1371.0,9948.0,2576.0,10025.0
2576.0,10025.0,707.0,10094.0
707.0,10094.0,972.0,10156.0
972.0,10156.0,2640.0,10243.0
2640.0,10243.0,2544.0,10322.0
2544.0,10322.0,1729.0,10411.0
1729.0,10411.0,2017.0,10487.0
2017.0,10487.0,1981.0,10565.0
1981.0,10565.0,841.0,10630.0
841.0,10630.0,1784.0,10716.0
1784.0,10716.0,1762.0,10798.0
1762.0,10798.0,1523.0,10877.0
1523.0,10877.0,1310.0,10970.0
1310.0,10970.0,1586.0,11043.0
1586.0,11043.0,1645.0,11106.0
1645.0,11106.0,728.0,11172.0
728.0,11172.0,1470.0,11244.0
1470.0,11244.0,1411.0,11304.0
1411.0,11304.0,1335.0,11357.0
1335.0,11357.0,1048.0,11405.0
1048.0,11405.0,1536.0,11458.0
1536.0,11458.0,1369.0,11495.0
1369.0,11495.0,692.0,11531.0
692.0,11531.0,1190.0,11572.0
1190.0,11572.0,1192.0,11611.0
1192.0,11611.0,1066.0,11647.0
1066.0,11647.0,1003.0,11684.0
1003.0,11684.0,1155.0,11732.0
1155.0,11732.0,1016.0,11766.0
1016.0,11766.0,627.0,11807.0
627.0,11807.0,930.0,11855.0
930.0,11855.0,1090.0,11886.0
1090.0,11886.0,715.0,11920.0
715.0,11920.0,751.0,11946.0
751.0,11946.0,832.0,11990.0
832.0,11990.0,352.0,12019.0
352.0,12019.0,711.0,12051.0
711.0,12051.0,784.0,12077.0
784.0,12077.0,673.0,12096.0
673.0,12096.0,607.0,12135.0
607.0,12135.0,560.0,12168.0
560.0,12168.0,611.0,12203.0
611.0,12203.0,375.0,12224.0
375.0,12224.0,386.0,12238.0
386.0,12238.0,551.0,12248.0
551.0,12248.0,472.0,12262.0
472.0,12262.0,455.0,12272.0
455.0,12272.0,310.0,12280.0
310.0,12280.0,398.0,12286.0
398.0,12286.0,308.0,12292.0
